"5","1","2016-09-16 11:10:18","2016-09-16 11:10:18","[vc_row css="".vc_custom_1475065578707{margin-top: -11% !important;}""][vc_column][trx_call_to_action style=""2"" image=""323"" title=""Get a Quote for Your Next Gardener Services"" description=""An affordable, quality gardening service that you can request online."" link=""/price/"" link_caption=""order now""][/trx_call_to_action][/vc_column][/vc_row][vc_row][vc_column][trx_services type=""images"" title=""Why Choose Us?"" subtitle=""about"" cat=""37"" columns=""3"" count=""3"" top=""large"" bottom=""large""][/trx_services][/vc_column][/vc_row][vc_row full_width=""stretch_row"" css="".vc_custom_1474975028283{background-image: url(http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/bg_2.jpg?id=261) !important;}""][vc_column][trx_section title=""What We Offer"" subtitle=""proposal"" top=""huge"" bottom=""huge""][trx_promo style=""1"" image=""43"" title=""A Personalized Offer for Your Garden"" description=""We aim to provide exclusive and creative gardening services with a unique individual approach. Feel the difference with personalized quote program from our company."" link=""#"" link_caption=""order now!""][/trx_promo][/trx_section][/vc_column][/vc_row][vc_row full_width=""stretch_row"" inverse=""yes"" css="".vc_custom_1474976416564{background-image: url(http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/parallax_1.jpg?id=282) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}""][vc_column][trx_columns count=""4"" margins="""" top=""huge"" bottom=""huge""][trx_column_item align=""center""][trx_icon icon=""icon-icon_3"" font_size=""2.2rem"" bottom=""small""][trx_skills type=""counter"" layout=""columns"" columns=""1"" top=""tiny"" style=""1""][trx_skills_item title=""Years of Experience"" value=""28"" style=""2""][/trx_skills_item][/trx_skills][/trx_column_item][trx_column_item align=""center""][trx_icon icon=""icon-icon_4"" font_size=""2.2rem"" bottom=""small""][trx_skills type=""counter"" layout=""columns"" columns=""1"" top=""tiny"" style=""2""][trx_skills_item title=""Professional Equipment"" value=""578"" style=""2""][/trx_skills_item][/trx_skills][/trx_column_item][trx_column_item align=""center""][trx_icon icon=""icon-icon_5"" font_size=""2.2rem"" bottom=""small""][trx_skills type=""counter"" layout=""columns"" columns=""1"" top=""tiny"" style=""2""][trx_skills_item title=""Satisfied Customers"" value=""200"" text_after_value=""k"" style=""2""][/trx_skills_item][/trx_skills][/trx_column_item][trx_column_item align=""center""][trx_icon icon=""icon-icon_6"" font_size=""2.2rem"" bottom=""small""][trx_skills type=""counter"" layout=""columns"" columns=""1"" top=""tiny"" style=""2""][trx_skills_item title=""Gardening Professionals"" value=""127"" style=""2""][/trx_skills_item][/trx_skills][/trx_column_item][/trx_columns][/vc_column][/vc_row][vc_row][vc_column][trx_services style=""services-6"" type=""images"" title=""Complete Garden Solutions"" subtitle=""services"" cat=""0"" columns=""3"" count=""3"" ids=""201,200,199"" link=""/our-services/"" link_caption=""view all"" top=""large"" bottom=""large""][/trx_services][/vc_column][/vc_row][vc_row full_width=""stretch_row"" inverse=""yes"" css="".vc_custom_1474977968493{background-image: url(http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/bg_testimonials2.jpg?id=250) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}""][vc_column][trx_testimonials controls=""side"" title=""What Our Customers Say"" subtitle=""testimonials"" cat=""0"" top=""large"" bottom=""large""][/trx_testimonials][/vc_column][/vc_row][vc_row][vc_column][trx_section title=""Related Products"" subtitle=""shop"" top=""huge"" bottom=""huge""][products columns=""3"" orderby=""date"" order=""DESC"" ids=""181, 176, 170""][trx_promo style=""2"" image=""44"" image_width=""66%"" text_align=""center"" title=""This Week's Top Picks"" description=""Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient."" title_on_image=""UP TO 35% OFF"" subtitle_on_image=""We sell it because we love it!"" link_on_image=""#"" link_caption_on_image=""order now"" top=""small""][/trx_promo][/trx_section][/vc_column][/vc_row][vc_row full_width=""stretch_row"" css="".vc_custom_1474367678671{background-image: url(http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/bg_2.jpg?id=261) !important;}""][vc_column][trx_team align=""center"" title=""Our Team of Gardeners"" subtitle=""team"" cat=""0"" columns=""4"" count=""4"" orderby=""date"" order=""desc"" top=""large"" bottom=""large""][/trx_team][/vc_column][/vc_row][vc_row full_width=""stretch_row"" inverse=""yes"" css="".vc_custom_1474987712297{background-image: url(http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/bg_gallery.jpg?id=283) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}""][vc_column][trx_section align=""center"" title=""Our Projects"" subtitle=""gallery"" description=""We are excited and very proud to share some of our finest garden jobs that were performed over the last few months."" link=""/gallery-cobbles/"" link_caption=""view here"" css=""max-width: 740px;"" top=""large"" bottom=""large""][/trx_section][/vc_column][/vc_row][vc_row css="".vc_custom_1474988047020{padding-top: 4.5rem !important;padding-bottom: 4.2rem !important;}""][vc_column][trx_clients slider=""yes"" cat=""0"" columns=""6"" count=""6"" orderby=""date"" order=""desc""][/trx_clients][/vc_column][/vc_row][vc_row full_width=""stretch_row_content_no_spaces""][vc_column][trx_googlemap height=""269""][/trx_googlemap][/vc_column][/vc_row]","Home 1",,"publish","closed","closed",,"home-1",,,"2016-10-04 12:06:32","2016-10-04 12:06:32",,"0","http://gbaguidi.srv1.mws-lab.fr/?page_id=5","0","page",,"0"
"8","1","2016-09-16 11:26:05","2016-09-16 11:26:05",,"7_support",,"inherit","open","closed",,"7_support",,,"2016-09-16 11:26:05","2016-09-16 11:26:05",,"0","http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/7_support.png","0","attachment","image/png","0"
"9","1","2016-09-16 11:26:06","2016-09-16 11:26:06",,"7_support-updated-tablet",,"inherit","open","closed",,"7_support-updated-tablet",,,"2016-09-16 11:26:06","2016-09-16 11:26:06",,"0","http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/7_support-updated-tablet.png","0","attachment","image/png","0"
"10","1","2016-09-16 11:26:08","2016-09-16 11:26:08",,"cideoclipart",,"inherit","open","closed",,"cideoclipart",,,"2016-09-16 11:26:08","2016-09-16 11:26:08",,"0","http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/cideoclipart.jpg","0","attachment","image/jpeg","0"
"11","1","2016-09-16 11:26:09","2016-09-16 11:26:09",,"cideoclipart2",,"inherit","open","closed",,"cideoclipart2",,,"2016-09-16 11:26:09","2016-09-16 11:26:09",,"0","http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/cideoclipart2.jpg","0","attachment","image/jpeg","0"
"12","1","2016-09-16 11:26:10","2016-09-16 11:26:10",,"cideoclipart3",,"inherit","open","closed",,"cideoclipart3",,,"2016-09-16 11:26:10","2016-09-16 11:26:10",,"0","http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/cideoclipart3.jpg","0","attachment","image/jpeg","0"
"13","1","2016-09-16 11:26:11","2016-09-16 11:26:11",,"cideoclipart4",,"inherit","open","closed",,"cideoclipart4",,,"2016-09-16 11:26:11","2016-09-16 11:26:11",,"0","http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/cideoclipart4.jpg","0","attachment","image/jpeg","0"
"14","1","2016-09-16 11:26:13","2016-09-16 11:26:13",,"inmotion",,"inherit","open","closed",,"inmotion",,,"2016-09-16 11:26:13","2016-09-16 11:26:13",,"0","http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/inmotion.png","0","attachment","image/png","0"
"15","1","2016-09-16 11:26:14","2016-09-16 11:26:14",,"mediatemple",,"inherit","open","closed",,"mediatemple",,,"2016-09-16 11:26:14","2016-09-16 11:26:14",,"0","http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/mediatemple.png","0","attachment","image/png","0"
"16","1","2016-09-16 11:26:15","2016-09-16 11:26:15","""sample-melody"".","sample-melody",,"inherit","open","closed",,"sample-melody",,,"2016-09-19 07:56:00","2016-09-19 07:56:00",,"0","http://gbaguidi.srv1.mws-lab.fr/wp-content/uploads/2016/09/sample-melody.mp3","0","attachment","audio/mpeg","0"
